source_sheet,well,sample_description_1,sample_description_2,lab_group,combined,copies_well,target,conc_copies_u_l,conc_copies_u_l_flag,inhib_lambda,inhib_e_p,dye_name_s,accepted_droplets,positives,negatives,ex_tech,ex_batch,dd_pcr,droplets,x4_or_more,notes,sample_description_3,sample_description_4,notes_2,id_lab,site_id,region,sp_code1,sp_code2,sp_code3,sp_code4,sheet_name_unbc,utm_zone,easting,northing,stream_name,species_target_form,date_time_sample,site_description_general,site_description_habitat_type,depth_sample,filter_volume_l,method_sample,method_preservation,control_blank_field,control_blank_office,control_species_present_field,comments_field,sample_ep_positives,sample_lambda_positives,qa_droplets_ok,sample_lambda_ok,sample_ep_ok,sample_inhib_status,detection_crude,detection_clean
PRIORITY SET,E07,F21237,ELU1,GROUP 12,NA,0,BULT,0,NA,N,N,VIC,18714,0,18714,JR,17/02/2026,18/02/2026,droplets,2-3 (RETEST),NA,NA,NA,NA,f21237,196332_ds_ed1,f,BT,RB,NA,NA,BT RB,10,578166,5895305,S. Yuzkli Creek,BT RB,2025/10/05 15:51:36,220m downstream of culvert on 24 Y Road. Left bank.,NA,0.05,1.9,grab,silica,FALSE,FALSE,NA,Tons of huckleberries on way down through riparian.,18359,434,FALSE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,E08,F21237,ELU2,GROUP 12,0,0,BULT,0,NA,NA,NA,VIC,17781,0,17781,JR,17/02/2026,18/02/2026,droplets,1 (DISCARD),NA,NA,NA,NA,f21237,196332_ds_ed1,f,BT,RB,NA,NA,BT RB,10,578166,5895305,S. Yuzkli Creek,BT RB,2025/10/05 15:51:36,220m downstream of culvert on 24 Y Road. Left bank.,NA,0.05,1.9,grab,silica,FALSE,FALSE,NA,Tons of huckleberries on way down through riparian.,18359,434,FALSE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,E07,F21237,ELU1,GROUP 12,NA,0,RAIN2,0,NA,NA,NA,FAM,18714,0,18714,JR,17/02/2026,18/02/2026,low/fail,INHIB (CLEAN),NA,NA,NA,NA,f21237,196332_ds_ed1,f,BT,RB,NA,NA,BT RB,10,578166,5895305,S. Yuzkli Creek,BT RB,2025/10/05 15:51:36,220m downstream of culvert on 24 Y Road. Left bank.,NA,0.05,1.9,grab,silica,FALSE,FALSE,NA,Tons of huckleberries on way down through riparian.,18359,434,FALSE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,E08,F21237,ELU2,GROUP 12,0,0,RAIN2,0,NA,NA,NA,FAM,17781,0,17781,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f21237,196332_ds_ed1,f,BT,RB,NA,NA,BT RB,10,578166,5895305,S. Yuzkli Creek,BT RB,2025/10/05 15:51:36,220m downstream of culvert on 24 Y Road. Left bank.,NA,0.05,1.9,grab,silica,FALSE,FALSE,NA,Tons of huckleberries on way down through riparian.,18359,434,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,F07,F21238,ELU1,GROUP 12,NA,0,BULT,0,NA,N,Y,VIC,18887,0,18887,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f21238,196332_us_ed1,f,BT,RB,NA,NA,BT RB,10,578268,5895115,S. Yuzkli Creek,BT RB,2025/10/05 17:04:29,Immediately upstream of culvert on 24 Y Road. Left bank.,riffle,0.05,1.9,grab,silica,FALSE,FALSE,NA,NA,8650,479,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,F08,F21238,ELU2,GROUP 12,0,0,BULT,0,NA,NA,NA,VIC,19718,0,19718,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f21238,196332_us_ed1,f,BT,RB,NA,NA,BT RB,10,578268,5895115,S. Yuzkli Creek,BT RB,2025/10/05 17:04:29,Immediately upstream of culvert on 24 Y Road. Left bank.,riffle,0.05,1.9,grab,silica,FALSE,FALSE,NA,NA,8650,479,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,F07,F21238,ELU1,GROUP 12,NA,0,RAIN2,0,NA,NA,NA,FAM,18887,0,18887,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f21238,196332_us_ed1,f,BT,RB,NA,NA,BT RB,10,578268,5895115,S. Yuzkli Creek,BT RB,2025/10/05 17:04:29,Immediately upstream of culvert on 24 Y Road. Left bank.,riffle,0.05,1.9,grab,silica,FALSE,FALSE,NA,NA,8650,479,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,F08,F21238,ELU2,GROUP 12,0,0,RAIN2,0,NA,NA,NA,FAM,19718,0,19718,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f21238,196332_us_ed1,f,BT,RB,NA,NA,BT RB,10,578268,5895115,S. Yuzkli Creek,BT RB,2025/10/05 17:04:29,Immediately upstream of culvert on 24 Y Road. Left bank.,riffle,0.05,1.9,grab,silica,FALSE,FALSE,NA,NA,8650,479,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,A05,F60503,ELU1,GROUP 5,NA,0,BULT,0,NA,N,N,VIC,20045,0,20045,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f60503,199171_ds_ed1,f,BT,CH,RB,SK,BT CH RB SK,10,388958,5996987,Tributary To Fraser Lake,CH SK RB BT,2025/09/26 16:23:45,Immediately upstream of control of outlet pool below Gala Bay Road culvert. right bank.,pool,0.1,2,instream,silica,FALSE,FALSE,NA,Could not sample downstream as too shallow.,17830,390,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,A06,F60503,ELU2,GROUP 5,0,0,BULT,0,NA,NA,NA,VIC,17792,0,17792,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f60503,199171_ds_ed1,f,BT,CH,RB,SK,BT CH RB SK,10,388958,5996987,Tributary To Fraser Lake,CH SK RB BT,2025/09/26 16:23:45,Immediately upstream of control of outlet pool below Gala Bay Road culvert. right bank.,pool,0.1,2,instream,silica,FALSE,FALSE,NA,Could not sample downstream as too shallow.,17830,390,TRUE,TRUE,TRUE,pass,FALSE,FALSE
